央视频道,#genre#
CETV-1,http://ott.mobaibox.com/PLTV/3/224/3221225909/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227560/index.m3u8
CETV-2,http://ott.mobaibox.com/PLTV/3/224/3221225850/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227607/index.m3u8
CETV-3,http://ott.mobaibox.com/PLTV/3/224/3221227018/index.m3u8
CETV-4,http://ott.mobaibox.com/PLTV/3/224/3221227028/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227657/index.m3u8

CETV-早期教育,http://ott.mobaibox.com/PLTV/3/224/3221228692/index.m3u8
CGTN-西语,http://ott.mobaibox.com/PLTV/3/224/3221225917/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227574/index.m3u8

CGTN-俄语,http://ott.mobaibox.com/PLTV/3/224/3221228550/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228629/index.m3u8
CGTN-阿语,http://ott.mobaibox.com/PLTV/3/224/3221228553/index.m3u8



卫视频道,#genre#

凤凰新闻,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰卫视,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港台,http://ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221227037/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227040/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227255/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227402/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227439/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227529/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227552/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227573/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227649/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227668/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227689/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227702/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227705/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227707/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227710/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227713/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227768/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227771/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227774/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227870/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227896/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228099/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228306/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228427/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228429/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228533/index.m3u8
农林卫视,http://ott.mobaibox.com/PLTV/3/224/3221227015/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227648/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221227208/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227396/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227486/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227597/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227688/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227732/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228150/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228425/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228504/index.m3u8
